symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
LRCX,Lam Research Corporation,80.89,1.2264,0.98,78.62,81.345,113.0,68.87,103835257400.0,75.8696,84.66849,NASDAQ,4060123.0,12007788.0,79.1,79.91,3.28,24.66,2025-04-22T10:59:00.000+0000,1283660000.0,1738778046
ADI,"Analog Devices, Inc.",208.17,1.0485,2.16,204.16,208.632,244.14,182.57,103274594190.0,215.7838,220.9811,NASDAQ,1709874.0,3265033.0,205.35,206.01,3.3,63.08,2025-02-19T12:00:00.000+0000,496107000.0,1738778046
UBS,UBS Group AG,32.35,-0.1851,-0.06,32.2,32.58,35.84,26.005,103057679389.0,32.435,30.86585,NYSE,1882604.0,1575547.0,32.56,32.41,1.19,27.18,2025-02-04T05:00:00.000+0000,3185708791.0,1738778049
IBN,ICICI Bank Limited,29.125,-0.1885,-0.055,29.05,29.19,32.14,23.54,102824210625.0,29.82,28.8653,NYSE,1174343.0,4015476.0,29.09,29.18,1.58,18.43,2025-04-25T10:59:00.000+0000,3530445000.0,1738778046
MU,"Micron Technology, Inc.",92.18,1.6766,1.52,90.22,92.45,157.54,79.15,102704190600.0,97.7184,108.5419,NASDAQ,6587547.0,23817633.0,90.385,90.66,3.49,26.41,2025-03-18T10:59:00.000+0000,1114170000.0,1738778048
RIO,Rio Tinto Group,61.305,0.1716,0.105,61.1901,61.64,74.24,57.85,102645514853.0,61.03,64.81525,NYSE,990617.0,3086962.0,61.45,61.2,6.58,9.32,2025-02-19T18:00:00.000+0000,1674341650.0,1738778031
CRWD,"CrowdStrike Holdings, Inc.",413.14,1.3791,5.62,405.02,415.31,415.31,200.81,101761017431.0,363.8027,322.2465,NASDAQ,1455954.0,3556483.0,408.0,407.52,0.53,779.51,2025-03-03T21:00:00.000+0000,246311220.0,1738778017
TD,The Toronto-Dominion Bank,57.725,0.7066,0.405,57.24,57.82,64.91,51.25,101034335750.0,54.8126,57.06165,NYSE,388183.0,2347118.0,57.24,57.32,3.3,17.49,2025-02-27T13:30:00.000+0000,1750270000.0,1738778034
GEV,GE Vernova Inc.,365.81,2.6029,9.28,359.7201,368.79,447.5,119.0,100836616614.0,354.4862,243.15025,NYSE,1419483.0,3413567.0,363.97,356.53,5.57,65.68,2025-04-23T13:30:00.000+0000,275652980.0,1738778047
KLAC,KLA Corporation,756.825,1.0016,7.505,740.94,760.0,896.32,598.68,100572203775.0,673.7392,733.837,NASDAQ,249533.0,1219376.0,742.63,749.32,24.05,31.47,2025-04-23T10:59:00.000+0000,132887000.0,1738778000
MRVL,"Marvell Technology, Inc.",116.0,5.7526,6.31,110.76,116.85,127.48,53.19,100374800000.0,110.0996,81.77075,NASDAQ,7082264.0,14111584.0,112.05,109.69,-1.65,-70.3,2025-03-06T00:00:00.000+0000,865300000.0,1738778046
MELI,"MercadoLibre, Inc.",1968.405,0.1015,1.995,1950.0,1975.0,2161.73,1324.99,99793015647.0,1852.9572,1826.045,NASDAQ,64952.0,459996.0,1966.41,1966.41,28.25,69.68,2025-02-20T21:00:00.000+0000,50697400.0,1738777450
CEG,Constellation Energy Corporation,315.78,3.0849,9.45,302.85,315.9,352.0,126.73,98765436948.0,262.6944,227.16705,NASDAQ,1872446.0,3907966.0,310.5,306.33,9.07,34.82,2025-02-21T12:00:00.000+0000,312766600.0,1738778042
BUD,Anheuser-Busch InBev SA/NV,48.96,0.5339,0.26,48.585,49.0,67.49,45.94,97288883764.0,50.8436,59.0476,NYSE,747825.0,2513357.0,49.0,48.7,3.2,15.3,2025-02-26T06:00:00.000+0000,1987109554.0,1738778039
SMFG,"Sumitomo Mitsui Financial Group, Inc.",14.98,1.0796,0.16,14.915,15.06,15.56,10.1,97062396531.0,14.626,13.29125,NYSE,1067266.0,1330528.0,14.97,14.82,1.3,11.52,2025-05-14T12:00:00.000+0000,6479465723.0,1738777968
